energy_GeV,E2phi
4.819669872941e+07,1.278806000524e-09
6.763522354692e+07,1.074386483388e-09
9.494403065578e+07,8.270450633866e-10
1.332792037062e+08,5.557506529231e-10
1.870329083623e+08,3.414779749463e-10
2.625504471479e+08,2.310395932096e-10
3.685593953288e+08,1.955399090956e-10
5.172054881462e+08,1.907897094412e-10
7.260355055651e+08,2.008152726331e-10
1.019183969501e+09,2.212371008093e-10
1.430695820969e+09,2.516475902906e-10
2.007719130047e+09,2.945572951971e-10
2.818367885480e+09,3.555247636828e-10
3.956329059694e+09,4.371271653745e-10
5.551982064594e+09,5.426625339482e-10
7.793683746616e+09,6.808891529783e-10
1.094050838702e+10,8.758173847399e-10
1.535299653436e+10,1.160468455181e-09
2.155201478671e+10,1.573522412756e-09
3.025398594516e+10,2.193382080685e-09
4.245591931703e+10,2.996795572104e-09
5.959817673744e+10,4.005166398056e-09
8.366189515069e+10,5.426625234475e-09
1.000000000000e+11,6.387042255013e-09
