energy_GeV,Ephi_SES
4.168693834703e+08,9.056250531206e-16
5.248074602498e+08,3.602752031613e-16
6.606934480076e+08,1.495102029930e-16
8.317637711027e+08,6.629369468524e-17
1.047128548051e+09,3.162909378884e-17
1.318256738556e+09,1.602850757629e-17
1.659586907438e+09,8.729864372670e-18
2.089296130854e+09,5.047662207097e-18
2.630267991895e+09,3.098886852180e-18
3.311311214826e+09,2.022652422491e-18
4.168693834703e+09,1.394754405569e-18
5.248074602498e+09,1.009918637543e-18
6.606934480076e+09,7.669739152233e-19
8.317637711027e+09,6.029079084797e-19
1.047128548051e+10,4.898854495680e-19
1.318256738556e+10,4.082843100711e-19
1.659586907438e+10,3.462031450399e-19
2.089296130854e+10,2.983308962092e-19
2.630267991896e+10,2.598851133942e-19
3.311311214826e+10,2.275837905793e-19
4.168693834704e+10,1.990675477379e-19
5.248074602498e+10,1.745128148341e-19
6.606934480076e+10,1.541445932516e-19
8.317637711027e+10,1.362563367804e-19
1.047128548051e+11,1.218103025634e-19
1.318256738557e+11,1.095925821214e-19
1.659586907438e+11,9.936032648704e-20
2.089296130854e+11,9.101914405259e-20
2.630267991896e+11,8.368756297003e-20
3.311311214826e+11,7.743949607388e-20
4.168693834704e+11,7.213230920206e-20
5.248074602498e+11,6.744416083348e-20
6.606934480077e+11,6.314614150592e-20
8.317637711028e+11,5.952477937842e-20
1.000000000000e+12,5.751253617271e-20
