energy_GeV,E2phi
1.990626798129e+06,1.000599101952e-08
2.494175838837e+06,9.802522760721e-09
2.898607865423e+06,9.670839638644e-09
3.631464932485e+06,9.474185075308e-09
4.549451409671e+06,9.281608904962e-09
5.287140646774e+06,9.154582347015e-09
6.530825502327e+06,8.465338403032e-09
8.023820374853e+06,7.660949306085e-09
9.204871266863e+06,7.167571163350e-09
1.130652572042e+07,6.486432528897e-09
1.389504094038e+07,5.870090198686e-09
1.593610948184e+07,5.492070862203e-09
1.964931838048e+07,5.014685148563e-09
2.432658909814e+07,4.630798495045e-09
2.804750017119e+07,4.391255473348e-09
3.471316376883e+07,4.053221863626e-09
4.298350369277e+07,3.741710991600e-09
4.954369009843e+07,3.547878008324e-09
6.085289104659e+07,3.216179607044e-09
7.382669123784e+07,2.838011089789e-09
8.399162442136e+07,2.611031666190e-09
1.019164484589e+08,2.304202831982e-09
1.236756275049e+08,2.033488894167e-09
1.407082170831e+08,1.871128860329e-09
1.707593213156e+08,1.651572385825e-09
2.082249098318e+08,1.470523219360e-09
2.378890499421e+08,1.363714964814e-09
2.904033468736e+08,1.217751158089e-09
3.546200208581e+08,1.087368302455e-09
4.051350366316e+08,1.008370884180e-09
4.947254815813e+08,9.004231205488e-10
6.087348148566e+08,8.222650045706e-10
7.054671013382e+08,7.947512444608e-10
8.800961590099e+08,7.552747278803e-10
1.097855446360e+09,7.179252698009e-10
1.272140422880e+09,6.940665978620e-10
1.587131667345e+09,6.595779945156e-10
1.982570657777e+09,6.534334616736e-10
2.301793158725e+09,6.687221812712e-10
2.879531986934e+09,6.920770006999e-10
3.602319701520e+09,7.166143538509e-10
4.182284504151e+09,7.332097276628e-10
5.230510503696e+09,7.591264101531e-10
6.497359640339e+09,8.102031030805e-10
7.491373936923e+09,8.543115731413e-10
9.272493842003e+09,9.255805069074e-10
1.148034973125e+10,1.002713929765e-09
1.323288511552e+10,1.057384008396e-09
1.638395053327e+10,1.145527737760e-09
2.014834845127e+10,1.261325022417e-09
2.306576966414e+10,1.354496103012e-09
2.825230123831e+10,1.507088282120e-09
3.461352034830e+10,1.676908419388e-09
3.962250823509e+10,1.800743124530e-09
4.852885817627e+10,2.003565167448e-09
