energy_GeV,E2phi
2.6101572156825226e+07,1.0709632895505467e-07
3.8311868495573089e+07,6.8523717025324728e-08
5.6234132519034915e+07,4.6185778613659233e-08
8.2540418526801392e+07,3.2486367888046479e-08
1.2115276586285952e+08,2.2179663900899285e-08
1.7782794100389230e+08,1.9043189423968847e-08
2.6101572156825227e+08,1.4902665583539712e-08
3.8311868495573092e+08,1.2903694091480737e-08
5.6234132519034910e+08,1.2005055026955773e-08
8.2540418526801395e+08,1.0953563270789220e-08
1.2115276586285951e+09,1.0876635031562663e-08
1.7782794100389228e+09,1.0497402158382501e-08
2.6101572156825228e+09,1.0727004577938523e-08
3.8311868495573087e+09,1.1433334438590733e-08
5.6234132519034910e+09,1.2040181943332631e-08
8.2540418526801395e+09,1.3079531500234835e-08
1.2115276586285851e+10,1.5144879502018533e-08
1.7782794100389229e+10,1.7163536804952829e-08
2.6101572156825230e+10,1.9736291245075953e-08
3.8311868495572777e+10,2.3019931451297650e-08
5.6234132519034904e+10,2.7055915532493784e-08
8.2540418526801407e+10,3.3435268196586991e-08
