energy_min_GeV,energy_max_GeV,E2phi,E2phi_lower,E2phi_upper,confidence_level,is_upper_limit
4.641589e+03,1.000000e+04,3.17936e-08,1.05460e-08,5.43374e-08,0.68,False
1.000000e+04,2.154435e+04,3.37249e-08,2.28468e-08,4.27693e-08,0.68,False
2.154435e+04,4.641589e+04,4.42099e-08,3.64509e-08,5.36260e-08,0.68,False
4.641589e+04,1.000000e+05,1.93402e-08,1.40676e-08,2.60638e-08,0.68,False
1.000000e+05,2.154435e+05,2.00165e-08,1.49584e-08,2.59442e-08,0.68,False
2.154435e+05,4.641589e+05,0.00000e+00,0.00000e+00,1.72801e-09,0.68,True
4.641589e+05,1.000000e+06,5.51848e-10,8.01516e-11,4.76027e-09,0.68,False
1.000000e+06,2.154435e+06,1.09238e-08,5.39838e-09,1.80266e-08,0.68,False
2.154435e+06,4.641589e+06,0.00000e+00,0.00000e+00,4.90334e-09,0.68,True
4.641589e+06,1.000000e+07,0.00000e+00,0.00000e+00,1.44170e-09,0.68,True
1.000000e+07,2.154435e+07,0.00000e+00,0.00000e+00,7.67605e-09,0.68,True
2.154435e+07,4.641589e+07,0.00000e+00,0.00000e+00,1.35643e-08,0.68,True
4.641589e+07,1.000000e+08,0.00000e+00,0.00000e+00,2.63183e-08,0.68,True
