# Ajello et al. 2015 integrated all-blazar gamma-ray prediction digitized from Figure 3.
# Quantity: E2phi; Energy in GeV; fluxes in GeV cm^-2 s^-1 sr^-1.
# The published result is a band spanning the PLE, PDE and LDDE luminosity-function models.
# FluxE2 is a representative log-space centerline; Lower/Upper preserve the digitized band.
# Provenance is DIGITIZED; values are intentionally sparse and should not be treated as precision numerics.
# Paper: ApJL 800 L27, DOI 10.1088/2041-8205/800/2/L27, arXiv:1501.05301.
Energy,FluxE2,FluxE2Lower,FluxE2Upper
1.000000000000e-01,5.400000000000e-07,4.200000000000e-07,6.800000000000e-07
2.000000000000e-01,5.000000000000e-07,3.900000000000e-07,6.300000000000e-07
5.000000000000e-01,4.500000000000e-07,3.500000000000e-07,5.700000000000e-07
1.000000000000e+00,4.100000000000e-07,3.200000000000e-07,5.200000000000e-07
2.000000000000e+00,3.600000000000e-07,2.800000000000e-07,4.600000000000e-07
5.000000000000e+00,3.000000000000e-07,2.300000000000e-07,3.900000000000e-07
1.000000000000e+01,2.550000000000e-07,1.950000000000e-07,3.350000000000e-07
2.000000000000e+01,2.100000000000e-07,1.580000000000e-07,2.820000000000e-07
5.000000000000e+01,1.550000000000e-07,1.100000000000e-07,2.150000000000e-07
1.000000000000e+02,1.050000000000e-07,7.000000000000e-08,1.520000000000e-07
2.000000000000e+02,5.500000000000e-08,3.300000000000e-08,8.600000000000e-08
3.000000000000e+02,3.400000000000e-08,1.900000000000e-08,5.600000000000e-08
5.000000000000e+02,1.350000000000e-08,6.500000000000e-09,2.500000000000e-08
8.000000000000e+02,4.000000000000e-09,1.600000000000e-09,8.500000000000e-09
1.000000000000e+03,2.000000000000e-09,7.000000000000e-10,4.500000000000e-09
