# KM3NeT Collaboration 2026 diffuse blazar gamma-ray best-fit curve digitized from published Figure 5.
# Variant: joint KM3NeT/ARCA + IceCube best fit (eta ~= 10, alpha_p ~= 1.8).
# Quantity: E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Published source: JCAP03(2026)033, DOI 10.1088/1475-7516/2026/03/033.
# Published PDF SHA256: 5027c37955289da51e13969aff1b6a4f9d711e42f799b6ec351b9dd79f45b55c
# Visible best-fit line only; the 1-sigma band is not included.
Energy,FluxE2
8.912509381337e-02,1.903162985448e-07
1.000000000000e-01,1.925620039061e-07
1.122018454302e-01,1.925620039061e-07
1.258925411794e-01,1.925620039061e-07
1.412537544623e-01,1.925620039061e-07
1.584893192461e-01,1.925620039061e-07
1.778279410039e-01,1.925620039061e-07
1.995262314969e-01,1.948342082725e-07
2.238721138568e-01,1.948342082725e-07
2.511886431510e-01,1.948342082725e-07
2.818382931264e-01,1.948342082725e-07
3.162277660168e-01,1.948342082725e-07
3.548133892336e-01,1.948342082725e-07
3.981071705535e-01,1.948342082725e-07
4.466835921510e-01,1.971332243286e-07
5.011872336273e-01,1.971332243286e-07
5.623413251903e-01,1.971332243286e-07
6.309573444802e-01,1.971332243286e-07
7.079457843841e-01,1.971332243286e-07
7.943282347243e-01,1.994593684484e-07
8.912509381337e-01,1.994593684484e-07
1.000000000000e+00,1.994593684484e-07
1.122018454302e+00,1.994593684484e-07
1.258925411794e+00,1.994593684484e-07
1.412537544623e+00,1.994593684484e-07
1.584893192461e+00,1.994593684484e-07
1.778279410039e+00,2.018129607393e-07
1.995262314969e+00,2.018129607393e-07
2.238721138568e+00,2.018129607393e-07
2.511886431510e+00,1.948342082725e-07
2.818382931264e+00,1.948342082725e-07
3.162277660168e+00,2.041943250858e-07
3.548133892336e+00,2.041943250858e-07
3.981071705535e+00,2.041943250858e-07
4.466835921510e+00,2.041943250858e-07
5.011872336273e+00,2.041943250858e-07
5.623413251904e+00,2.041943250858e-07
6.309573444802e+00,2.041943250858e-07
7.079457843841e+00,2.007347859730e-07
7.943282347243e+00,1.914887064132e-07
8.912509381337e+00,1.773814893071e-07
1.000000000000e+01,1.753128228337e-07
1.122018454302e+01,1.685253357062e-07
1.258925411794e+01,1.557766804162e-07
1.412537544623e+01,1.501236962087e-07
1.584893192461e+01,1.470261106209e-07
1.778279410039e+01,1.354353919254e-07
1.995262314969e+01,1.368637129018e-07
2.238721138568e+01,1.268242905128e-07
2.511886431510e+01,1.190395871337e-07
2.818382931264e+01,1.165915517212e-07
3.162277660168e+01,1.090387458703e-07
3.548133892336e+01,1.041112380131e-07
3.981071705535e+01,9.714380176907e-08
4.466835921510e+01,8.496550176798e-08
5.011872336273e+01,7.803425678185e-08
5.623413251904e+01,6.819390724931e-08
6.309573444802e+01,6.318038116064e-08
7.079457843841e+01,5.641384526929e-08
7.943282347243e+01,5.072105191940e-08
8.912509381338e+01,4.545557119701e-08
1.000000000000e+02,4.067187008551e-08
1.122018454302e+02,3.662591945264e-08
1.258925411794e+02,3.268450688348e-08
1.412537544623e+02,2.478154486498e-08
1.584893192461e+02,1.813813492515e-08
1.778279410039e+02,1.333574803078e-08
1.995262314969e+02,9.897332324021e-09
2.238721138568e+02,7.285547582995e-09
2.511886431510e+02,5.326543799823e-09
2.818382931264e+02,3.947755899296e-09
3.162277660168e+02,2.905991484247e-09
3.548133892336e+02,2.139135934930e-09
3.981071705535e+02,1.579111296967e-09
4.466835921510e+02,1.159114865467e-09
5.011872336273e+02,8.532386536138e-10
5.623413251904e+02,6.307261856387e-10
6.309573444802e+02,4.674406508316e-10
7.079457843841e+02,3.403319013686e-10
7.943282347243e+02,2.519236750534e-10
8.912509381338e+02,1.869855730968e-10
1.000000000000e+03,1.387864976920e-10
1.122018454302e+03,1.022982190592e-10
1.258925411794e+03,7.592556233296e-11
1.412537544623e+03,5.543633495713e-11
