# Allard et al. 2026 FRII Model 3 diffuse cosmogenic neutrino curve extracted from the vector PDF Figure 4 top-left panel.
# Quantity: all-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Source: arXiv:2608.16540v1, Figure 4 top-left.
# Source PDF SHA256: 7e4c321c2cd6ae3a7803dd4523bbebc55f05c68479e3eac969e5100e2f27b726
# Vector extraction from uploaded arXiv PDF; no extrapolation beyond plotted support.
Energy,FluxE2
9.999999999899e+06,1.505774619432e-10
1.121924195015e+07,1.564639317854e-10
1.412460761439e+07,1.744335195368e-10
1.778235468217e+07,1.824387771804e-10
2.238732201888e+07,2.086445692900e-10
2.817923348528e+07,2.386617742755e-10
3.547660495689e+07,2.872811315834e-10
4.466372387134e+07,3.548063753356e-10
5.622996411577e+07,4.509449254000e-10
7.079142983421e+07,5.768840571331e-10
8.912377236498e+07,7.522820541161e-10
1.122035088791e+08,9.623781035213e-10
1.412600368055e+08,1.227019232085e-09
1.778059723233e+08,1.535025945334e-09
2.238510945500e+08,1.877558788721e-09
2.818201870064e+08,2.252912025447e-09
3.548011155272e+08,2.609841929423e-09
4.466813840198e+08,2.937895865365e-09
5.623552202520e+08,3.233494042152e-09
7.079842680869e+08,3.392601279748e-09
8.911496416365e+08,3.491937361040e-09
1.121924196818e+09,3.425620991653e-09
1.412460759193e+09,3.264965185653e-09
1.778235471076e+09,2.994770396407e-09
2.238732198327e+09,2.677776215808e-09
2.818480428143e+09,2.296525999801e-09
3.548361838167e+09,1.901838265692e-09
4.467255351183e+09,1.535025945334e-09
5.622996420616e+09,1.196126580723e-09
7.079142972161e+09,9.172442050911e-10
8.912377250824e+09,6.835102547167e-10
1.122035087006e+10,4.900777436280e-10
1.412600370326e+10,3.458050563415e-10
1.778411230603e+10,2.318724985928e-10
2.238953480183e+10,1.549864018000e-10
2.818201874595e+10,1.016073138336e-10
3.548011149629e+10,6.390407168930e-11
4.466813847379e+10,3.843534002573e-11
5.623552193576e+10,2.217273489164e-11
7.079842692250e+10,1.223225252536e-11
8.913258143842e+10,6.746954261384e-12
1.000000000007e+11,4.884658454331e-12
