# Model: Best-fit
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
1.000e+05,4.369e-12
1.016e+05,4.415e-12
1.033e+05,4.463e-12
1.050e+05,4.512e-12
1.067e+05,4.561e-12
1.084e+05,4.611e-12
1.102e+05,4.662e-12
1.120e+05,4.714e-12
1.138e+05,4.767e-12
1.156e+05,4.821e-12
1.175e+05,4.875e-12
1.194e+05,4.930e-12
1.214e+05,4.986e-12
1.233e+05,5.043e-12
1.253e+05,5.100e-12
1.274e+05,5.158e-12
1.295e+05,5.217e-12
1.316e+05,5.276e-12
1.337e+05,5.336e-12
1.359e+05,5.396e-12
1.381e+05,5.457e-12
1.403e+05,5.518e-12
1.426e+05,5.579e-12
1.449e+05,5.641e-12
1.473e+05,5.703e-12
1.497e+05,5.765e-12
1.521e+05,5.828e-12
1.546e+05,5.890e-12
1.571e+05,5.953e-12
1.597e+05,6.016e-12
1.623e+05,6.078e-12
1.649e+05,6.141e-12
1.676e+05,6.203e-12
1.703e+05,6.266e-12
1.731e+05,6.328e-12
1.759e+05,6.390e-12
1.788e+05,6.451e-12
1.817e+05,6.513e-12
1.846e+05,6.574e-12
1.876e+05,6.635e-12
1.907e+05,6.695e-12
1.938e+05,6.755e-12
1.969e+05,6.815e-12
2.001e+05,6.874e-12
2.034e+05,6.933e-12
2.067e+05,6.991e-12
2.100e+05,7.048e-12
2.135e+05,7.105e-12
2.169e+05,7.162e-12
2.205e+05,7.217e-12
2.241e+05,7.272e-12
2.277e+05,7.326e-12
2.314e+05,7.380e-12
2.352e+05,7.433e-12
2.390e+05,7.486e-12
2.429e+05,7.540e-12
2.468e+05,7.594e-12
2.508e+05,7.650e-12
2.549e+05,7.707e-12
2.591e+05,7.766e-12
2.633e+05,7.827e-12
2.676e+05,7.891e-12
2.719e+05,7.959e-12
2.763e+05,8.029e-12
2.808e+05,8.104e-12
2.854e+05,8.183e-12
2.900e+05,8.267e-12
2.948e+05,8.355e-12
2.996e+05,8.449e-12
3.044e+05,8.549e-12
3.094e+05,8.655e-12
3.144e+05,8.768e-12
3.195e+05,8.888e-12
3.247e+05,9.013e-12
3.300e+05,9.145e-12
3.354e+05,9.282e-12
3.408e+05,9.423e-12
3.464e+05,9.569e-12
3.520e+05,9.719e-12
3.577e+05,9.871e-12
3.635e+05,1.003e-11
3.695e+05,1.018e-11
3.755e+05,1.034e-11
3.816e+05,1.050e-11
3.878e+05,1.066e-11
3.941e+05,1.082e-11
4.005e+05,1.098e-11
4.070e+05,1.114e-11
4.136e+05,1.130e-11
4.204e+05,1.146e-11
4.272e+05,1.161e-11
4.341e+05,1.176e-11
4.412e+05,1.191e-11
4.484e+05,1.205e-11
4.557e+05,1.219e-11
4.631e+05,1.233e-11
4.706e+05,1.247e-11
4.783e+05,1.261e-11
4.861e+05,1.274e-11
4.940e+05,1.288e-11
5.020e+05,1.302e-11
5.102e+05,1.316e-11
5.185e+05,1.330e-11
5.269e+05,1.344e-11
5.355e+05,1.359e-11
5.442e+05,1.374e-11
5.530e+05,1.389e-11
5.620e+05,1.405e-11
5.712e+05,1.421e-11
5.804e+05,1.438e-11
5.899e+05,1.455e-11
5.995e+05,1.473e-11
6.092e+05,1.492e-11
6.191e+05,1.511e-11
6.292e+05,1.531e-11
6.394e+05,1.552e-11
6.498e+05,1.573e-11
6.604e+05,1.595e-11
6.712e+05,1.618e-11
6.821e+05,1.642e-11
6.932e+05,1.666e-11
7.044e+05,1.691e-11
7.159e+05,1.717e-11
7.275e+05,1.744e-11
7.394e+05,1.772e-11
7.514e+05,1.800e-11
7.636e+05,1.830e-11
7.761e+05,1.860e-11
7.887e+05,1.891e-11
8.015e+05,1.923e-11
8.145e+05,1.956e-11
8.278e+05,1.990e-11
8.412e+05,2.025e-11
8.549e+05,2.061e-11
8.688e+05,2.097e-11
8.830e+05,2.135e-11
8.973e+05,2.173e-11
9.119e+05,2.212e-11
9.268e+05,2.252e-11
9.418e+05,2.292e-11
9.572e+05,2.333e-11
9.727e+05,2.375e-11
9.885e+05,2.418e-11
1.005e+06,2.461e-11
1.021e+06,2.505e-11
1.038e+06,2.549e-11
1.054e+06,2.594e-11
1.072e+06,2.640e-11
1.089e+06,2.686e-11
1.107e+06,2.732e-11
1.125e+06,2.779e-11
1.143e+06,2.826e-11
1.162e+06,2.874e-11
1.181e+06,2.922e-11
1.200e+06,2.970e-11
1.219e+06,3.019e-11
1.239e+06,3.068e-11
1.259e+06,3.117e-11
1.280e+06,3.166e-11
1.301e+06,3.215e-11
1.322e+06,3.265e-11
1.343e+06,3.314e-11
1.365e+06,3.363e-11
1.387e+06,3.412e-11
1.410e+06,3.461e-11
1.433e+06,3.510e-11
1.456e+06,3.558e-11
1.480e+06,3.607e-11
1.504e+06,3.655e-11
1.528e+06,3.702e-11
1.553e+06,3.750e-11
1.578e+06,3.796e-11
1.604e+06,3.843e-11
1.630e+06,3.889e-11
1.657e+06,3.936e-11
1.684e+06,3.982e-11
1.711e+06,4.029e-11
1.739e+06,4.076e-11
1.767e+06,4.123e-11
1.796e+06,4.171e-11
1.825e+06,4.220e-11
1.855e+06,4.270e-11
1.885e+06,4.321e-11
1.916e+06,4.373e-11
1.947e+06,4.427e-11
1.978e+06,4.482e-11
2.010e+06,4.539e-11
2.043e+06,4.597e-11
2.076e+06,4.658e-11
2.110e+06,4.720e-11
2.145e+06,4.785e-11
2.179e+06,4.852e-11
2.215e+06,4.921e-11
2.251e+06,4.992e-11
2.287e+06,5.064e-11
2.325e+06,5.138e-11
2.363e+06,5.213e-11
2.401e+06,5.290e-11
2.440e+06,5.366e-11
2.480e+06,5.444e-11
2.520e+06,5.522e-11
2.561e+06,5.599e-11
2.603e+06,5.677e-11
2.645e+06,5.754e-11
2.688e+06,5.831e-11
2.732e+06,5.907e-11
2.776e+06,5.982e-11
2.821e+06,6.055e-11
2.867e+06,6.127e-11
2.914e+06,6.198e-11
2.961e+06,6.266e-11
3.009e+06,6.332e-11
3.058e+06,6.397e-11
3.108e+06,6.460e-11
3.159e+06,6.521e-11
3.210e+06,6.582e-11
3.262e+06,6.643e-11
3.315e+06,6.703e-11
3.369e+06,6.763e-11
3.424e+06,6.823e-11
3.480e+06,6.884e-11
3.536e+06,6.946e-11
3.594e+06,7.009e-11
3.652e+06,7.073e-11
3.712e+06,7.140e-11
3.772e+06,7.208e-11
3.833e+06,7.279e-11
3.896e+06,7.352e-11
3.959e+06,7.429e-11
4.024e+06,7.509e-11
4.089e+06,7.592e-11
4.155e+06,7.680e-11
4.223e+06,7.770e-11
4.292e+06,7.863e-11
4.362e+06,7.958e-11
4.432e+06,8.056e-11
4.505e+06,8.154e-11
4.578e+06,8.254e-11
4.652e+06,8.354e-11
4.728e+06,8.454e-11
4.805e+06,8.553e-11
4.883e+06,8.652e-11
4.962e+06,8.749e-11
5.043e+06,8.844e-11
5.125e+06,8.937e-11
5.209e+06,9.027e-11
5.293e+06,9.114e-11
5.379e+06,9.197e-11
5.467e+06,9.276e-11
5.556e+06,9.351e-11
5.646e+06,9.420e-11
5.738e+06,9.485e-11
5.831e+06,9.545e-11
5.926e+06,9.601e-11
6.023e+06,9.654e-11
6.120e+06,9.704e-11
6.220e+06,9.753e-11
6.321e+06,9.800e-11
6.424e+06,9.847e-11
6.529e+06,9.893e-11
6.635e+06,9.940e-11
6.743e+06,9.989e-11
6.852e+06,1.004e-10
6.964e+06,1.009e-10
7.077e+06,1.015e-10
7.192e+06,1.021e-10
7.309e+06,1.027e-10
7.428e+06,1.034e-10
7.549e+06,1.042e-10
7.672e+06,1.050e-10
7.796e+06,1.058e-10
7.923e+06,1.068e-10
8.052e+06,1.078e-10
8.183e+06,1.089e-10
8.316e+06,1.100e-10
8.451e+06,1.111e-10
8.589e+06,1.122e-10
8.729e+06,1.134e-10
8.870e+06,1.146e-10
9.015e+06,1.158e-10
9.161e+06,1.169e-10
9.310e+06,1.181e-10
9.462e+06,1.192e-10
9.616e+06,1.203e-10
9.772e+06,1.214e-10
9.931e+06,1.224e-10
1.009e+07,1.233e-10
1.026e+07,1.242e-10
1.042e+07,1.250e-10
1.059e+07,1.258e-10
1.077e+07,1.264e-10
1.094e+07,1.270e-10
1.112e+07,1.274e-10
1.130e+07,1.278e-10
1.148e+07,1.282e-10
1.167e+07,1.284e-10
1.186e+07,1.287e-10
1.205e+07,1.289e-10
1.225e+07,1.290e-10
1.245e+07,1.292e-10
1.265e+07,1.293e-10
1.286e+07,1.294e-10
1.307e+07,1.295e-10
1.328e+07,1.296e-10
1.349e+07,1.297e-10
1.371e+07,1.298e-10
1.394e+07,1.300e-10
1.416e+07,1.302e-10
1.439e+07,1.304e-10
1.463e+07,1.307e-10
1.487e+07,1.311e-10
1.511e+07,1.315e-10
1.535e+07,1.319e-10
1.560e+07,1.325e-10
1.586e+07,1.330e-10
1.611e+07,1.336e-10
1.638e+07,1.343e-10
1.664e+07,1.350e-10
1.691e+07,1.357e-10
1.719e+07,1.365e-10
1.747e+07,1.373e-10
1.775e+07,1.381e-10
1.804e+07,1.390e-10
1.833e+07,1.399e-10
1.863e+07,1.408e-10
1.894e+07,1.417e-10
1.924e+07,1.427e-10
1.956e+07,1.436e-10
1.987e+07,1.446e-10
2.020e+07,1.456e-10
2.053e+07,1.465e-10
2.086e+07,1.475e-10
2.120e+07,1.485e-10
2.154e+07,1.495e-10
2.189e+07,1.505e-10
2.225e+07,1.515e-10
2.261e+07,1.526e-10
2.298e+07,1.537e-10
2.335e+07,1.547e-10
2.373e+07,1.558e-10
2.412e+07,1.570e-10
2.451e+07,1.581e-10
2.491e+07,1.593e-10
2.532e+07,1.605e-10
2.573e+07,1.618e-10
2.615e+07,1.631e-10
2.657e+07,1.644e-10
2.700e+07,1.657e-10
2.744e+07,1.671e-10
2.789e+07,1.686e-10
2.834e+07,1.701e-10
2.880e+07,1.716e-10
2.927e+07,1.731e-10
2.975e+07,1.748e-10
3.023e+07,1.764e-10
3.072e+07,1.782e-10
3.122e+07,1.799e-10
3.173e+07,1.817e-10
3.225e+07,1.836e-10
3.277e+07,1.855e-10
3.331e+07,1.875e-10
3.385e+07,1.896e-10
3.440e+07,1.917e-10
3.496e+07,1.938e-10
3.553e+07,1.961e-10
3.610e+07,1.983e-10
3.669e+07,2.007e-10
3.729e+07,2.031e-10
3.789e+07,2.056e-10
3.851e+07,2.081e-10
3.914e+07,2.108e-10
3.977e+07,2.135e-10
4.042e+07,2.162e-10
4.108e+07,2.191e-10
4.175e+07,2.220e-10
4.243e+07,2.251e-10
4.312e+07,2.282e-10
4.382e+07,2.314e-10
4.453e+07,2.348e-10
4.525e+07,2.382e-10
4.599e+07,2.418e-10
4.674e+07,2.455e-10
4.750e+07,2.493e-10
4.827e+07,2.533e-10
4.906e+07,2.574e-10
4.985e+07,2.616e-10
5.066e+07,2.660e-10
5.149e+07,2.705e-10
5.233e+07,2.751e-10
5.318e+07,2.800e-10
5.404e+07,2.850e-10
5.492e+07,2.901e-10
5.581e+07,2.955e-10
5.672e+07,3.010e-10
5.764e+07,3.066e-10
5.858e+07,3.125e-10
5.954e+07,3.185e-10
6.050e+07,3.247e-10
6.149e+07,3.311e-10
6.249e+07,3.377e-10
6.350e+07,3.445e-10
6.454e+07,3.514e-10
6.559e+07,3.586e-10
6.665e+07,3.660e-10
6.774e+07,3.736e-10
6.884e+07,3.814e-10
6.996e+07,3.893e-10
7.110e+07,3.975e-10
7.225e+07,4.060e-10
7.343e+07,4.146e-10
7.462e+07,4.235e-10
7.584e+07,4.326e-10
7.707e+07,4.419e-10
7.832e+07,4.515e-10
7.960e+07,4.613e-10
8.089e+07,4.714e-10
8.221e+07,4.817e-10
8.355e+07,4.924e-10
8.490e+07,5.032e-10
8.629e+07,5.144e-10
8.769e+07,5.259e-10
8.911e+07,5.377e-10
9.056e+07,5.498e-10
9.204e+07,5.622e-10
9.353e+07,5.749e-10
9.506e+07,5.879e-10
9.660e+07,6.013e-10
9.817e+07,6.150e-10
9.977e+07,6.290e-10
1.014e+08,6.434e-10
1.030e+08,6.582e-10
1.047e+08,6.733e-10
1.064e+08,6.888e-10
1.082e+08,7.047e-10
1.099e+08,7.209e-10
1.117e+08,7.375e-10
1.135e+08,7.544e-10
1.154e+08,7.717e-10
1.172e+08,7.894e-10
1.191e+08,8.075e-10
1.211e+08,8.259e-10
1.231e+08,8.447e-10
1.251e+08,8.639e-10
1.271e+08,8.835e-10
1.292e+08,9.035e-10
1.313e+08,9.238e-10
1.334e+08,9.446e-10
1.356e+08,9.657e-10
1.378e+08,9.872e-10
1.400e+08,1.009e-09
1.423e+08,1.031e-09
1.446e+08,1.054e-09
1.469e+08,1.077e-09
1.493e+08,1.101e-09
1.518e+08,1.125e-09
1.542e+08,1.149e-09
1.567e+08,1.174e-09
1.593e+08,1.199e-09
1.619e+08,1.224e-09
1.645e+08,1.250e-09
1.672e+08,1.276e-09
1.699e+08,1.302e-09
1.727e+08,1.329e-09
1.755e+08,1.357e-09
1.783e+08,1.384e-09
1.812e+08,1.412e-09
1.842e+08,1.441e-09
1.872e+08,1.470e-09
1.902e+08,1.499e-09
1.933e+08,1.528e-09
1.965e+08,1.558e-09
1.997e+08,1.589e-09
2.029e+08,1.619e-09
2.062e+08,1.650e-09
2.096e+08,1.681e-09
2.130e+08,1.713e-09
2.164e+08,1.744e-09
2.200e+08,1.776e-09
2.235e+08,1.808e-09
2.272e+08,1.841e-09
2.309e+08,1.873e-09
2.346e+08,1.906e-09
2.384e+08,1.939e-09
2.423e+08,1.972e-09
2.463e+08,2.006e-09
2.503e+08,2.039e-09
2.543e+08,2.073e-09
2.585e+08,2.106e-09
2.627e+08,2.140e-09
2.669e+08,2.174e-09
2.713e+08,2.208e-09
2.757e+08,2.242e-09
2.802e+08,2.276e-09
2.847e+08,2.310e-09
2.894e+08,2.344e-09
2.941e+08,2.378e-09
2.989e+08,2.413e-09
3.037e+08,2.447e-09
3.087e+08,2.481e-09
3.137e+08,2.516e-09
3.188e+08,2.551e-09
3.240e+08,2.585e-09
3.292e+08,2.620e-09
3.346e+08,2.655e-09
3.400e+08,2.690e-09
3.456e+08,2.724e-09
3.512e+08,2.759e-09
3.569e+08,2.794e-09
3.627e+08,2.829e-09
3.686e+08,2.864e-09
3.746e+08,2.899e-09
3.807e+08,2.935e-09
3.869e+08,2.970e-09
3.932e+08,3.004e-09
3.996e+08,3.039e-09
4.061e+08,3.074e-09
4.127e+08,3.108e-09
4.194e+08,3.142e-09
4.262e+08,3.176e-09
4.331e+08,3.210e-09
4.402e+08,3.243e-09
4.474e+08,3.276e-09
4.546e+08,3.308e-09
4.620e+08,3.340e-09
4.695e+08,3.371e-09
4.772e+08,3.402e-09
4.849e+08,3.432e-09
4.928e+08,3.462e-09
5.008e+08,3.491e-09
5.090e+08,3.519e-09
5.173e+08,3.547e-09
5.257e+08,3.574e-09
5.342e+08,3.601e-09
5.429e+08,3.627e-09
5.517e+08,3.652e-09
5.607e+08,3.677e-09
5.698e+08,3.701e-09
5.791e+08,3.725e-09
5.885e+08,3.748e-09
5.981e+08,3.771e-09
6.078e+08,3.793e-09
6.177e+08,3.814e-09
6.278e+08,3.836e-09
6.380e+08,3.856e-09
6.484e+08,3.877e-09
6.589e+08,3.897e-09
6.696e+08,3.916e-09
6.805e+08,3.935e-09
6.916e+08,3.954e-09
7.028e+08,3.972e-09
7.143e+08,3.990e-09
7.259e+08,4.008e-09
7.377e+08,4.025e-09
7.497e+08,4.041e-09
7.619e+08,4.057e-09
7.743e+08,4.072e-09
7.869e+08,4.087e-09
7.997e+08,4.102e-09
8.127e+08,4.115e-09
8.259e+08,4.128e-09
8.393e+08,4.140e-09
8.530e+08,4.152e-09
8.668e+08,4.163e-09
8.809e+08,4.173e-09
8.953e+08,4.182e-09
9.098e+08,4.191e-09
9.246e+08,4.198e-09
9.397e+08,4.205e-09
9.549e+08,4.211e-09
9.705e+08,4.216e-09
9.863e+08,4.220e-09
1.002e+09,4.223e-09
1.019e+09,4.225e-09
1.035e+09,4.227e-09
1.052e+09,4.227e-09
1.069e+09,4.226e-09
1.087e+09,4.225e-09
1.104e+09,4.223e-09
1.122e+09,4.220e-09
1.140e+09,4.216e-09
1.159e+09,4.211e-09
1.178e+09,4.205e-09
1.197e+09,4.198e-09
1.216e+09,4.191e-09
1.236e+09,4.182e-09
1.256e+09,4.173e-09
1.277e+09,4.162e-09
1.298e+09,4.151e-09
1.319e+09,4.139e-09
1.340e+09,4.126e-09
1.362e+09,4.113e-09
1.384e+09,4.098e-09
1.407e+09,4.083e-09
1.429e+09,4.067e-09
1.453e+09,4.050e-09
1.476e+09,4.033e-09
1.500e+09,4.014e-09
1.525e+09,3.996e-09
1.549e+09,3.976e-09
1.575e+09,3.956e-09
1.600e+09,3.935e-09
1.626e+09,3.914e-09
1.653e+09,3.892e-09
1.680e+09,3.870e-09
1.707e+09,3.847e-09
1.735e+09,3.824e-09
1.763e+09,3.801e-09
1.792e+09,3.777e-09
1.821e+09,3.752e-09
1.850e+09,3.727e-09
1.881e+09,3.702e-09
1.911e+09,3.677e-09
1.942e+09,3.651e-09
1.974e+09,3.625e-09
2.006e+09,3.598e-09
2.038e+09,3.572e-09
2.072e+09,3.545e-09
2.105e+09,3.517e-09
2.140e+09,3.490e-09
2.174e+09,3.462e-09
2.210e+09,3.434e-09
2.246e+09,3.405e-09
2.282e+09,3.377e-09
2.319e+09,3.348e-09
2.357e+09,3.319e-09
2.395e+09,3.290e-09
2.434e+09,3.260e-09
2.474e+09,3.231e-09
2.514e+09,3.201e-09
2.555e+09,3.171e-09
2.597e+09,3.141e-09
2.639e+09,3.111e-09
2.682e+09,3.080e-09
2.725e+09,3.049e-09
2.770e+09,3.019e-09
2.815e+09,2.988e-09
2.861e+09,2.956e-09
2.907e+09,2.925e-09
2.954e+09,2.893e-09
3.002e+09,2.862e-09
3.051e+09,2.830e-09
3.101e+09,2.797e-09
3.151e+09,2.765e-09
3.203e+09,2.732e-09
3.255e+09,2.699e-09
3.308e+09,2.666e-09
3.361e+09,2.633e-09
3.416e+09,2.599e-09
3.472e+09,2.566e-09
3.528e+09,2.532e-09
3.586e+09,2.497e-09
3.644e+09,2.463e-09
3.703e+09,2.429e-09
3.763e+09,2.394e-09
3.825e+09,2.360e-09
3.887e+09,2.325e-09
3.950e+09,2.291e-09
4.014e+09,2.256e-09
4.080e+09,2.221e-09
4.146e+09,2.187e-09
4.213e+09,2.153e-09
4.282e+09,2.118e-09
4.351e+09,2.084e-09
4.422e+09,2.050e-09
4.494e+09,2.017e-09
4.567e+09,1.983e-09
4.642e+09,1.950e-09
4.717e+09,1.917e-09
4.794e+09,1.884e-09
4.872e+09,1.852e-09
4.951e+09,1.820e-09
5.032e+09,1.788e-09
5.113e+09,1.756e-09
5.197e+09,1.725e-09
