# Model: Local min.
# Energy-squared per-flavour neutrino fluxes, assuming neutrino equipartition
# Energy in [GeV], FluxE2 in [GeV cm^-2 sr^-1 s^-1]
Energy,FluxE2
1.000e+05,3.547e-13
1.016e+05,3.621e-13
1.033e+05,3.697e-13
1.050e+05,3.774e-13
1.067e+05,3.853e-13
1.084e+05,3.933e-13
1.102e+05,4.015e-13
1.120e+05,4.099e-13
1.138e+05,4.185e-13
1.156e+05,4.272e-13
1.175e+05,4.361e-13
1.194e+05,4.451e-13
1.214e+05,4.544e-13
1.233e+05,4.638e-13
1.253e+05,4.734e-13
1.274e+05,4.832e-13
1.295e+05,4.932e-13
1.316e+05,5.034e-13
1.337e+05,5.138e-13
1.359e+05,5.244e-13
1.381e+05,5.352e-13
1.403e+05,5.463e-13
1.426e+05,5.576e-13
1.449e+05,5.691e-13
1.473e+05,5.809e-13
1.497e+05,5.929e-13
1.521e+05,6.051e-13
1.546e+05,6.176e-13
1.571e+05,6.304e-13
1.597e+05,6.434e-13
1.623e+05,6.567e-13
1.649e+05,6.702e-13
1.676e+05,6.841e-13
1.703e+05,6.982e-13
1.731e+05,7.126e-13
1.759e+05,7.273e-13
1.788e+05,7.423e-13
1.817e+05,7.576e-13
1.846e+05,7.733e-13
1.876e+05,7.892e-13
1.907e+05,8.055e-13
1.938e+05,8.221e-13
1.969e+05,8.391e-13
2.001e+05,8.564e-13
2.034e+05,8.741e-13
2.067e+05,8.921e-13
2.100e+05,9.105e-13
2.135e+05,9.292e-13
2.169e+05,9.484e-13
2.205e+05,9.679e-13
2.241e+05,9.878e-13
2.277e+05,1.008e-12
2.314e+05,1.029e-12
2.352e+05,1.050e-12
2.390e+05,1.072e-12
2.429e+05,1.094e-12
2.468e+05,1.116e-12
2.508e+05,1.139e-12
2.549e+05,1.163e-12
2.591e+05,1.187e-12
2.633e+05,1.212e-12
2.676e+05,1.237e-12
2.719e+05,1.263e-12
2.763e+05,1.289e-12
2.808e+05,1.316e-12
2.854e+05,1.344e-12
2.900e+05,1.373e-12
2.948e+05,1.402e-12
2.996e+05,1.432e-12
3.044e+05,1.463e-12
3.094e+05,1.494e-12
3.144e+05,1.526e-12
3.195e+05,1.559e-12
3.247e+05,1.593e-12
3.300e+05,1.628e-12
3.354e+05,1.663e-12
3.408e+05,1.700e-12
3.464e+05,1.737e-12
3.520e+05,1.775e-12
3.577e+05,1.814e-12
3.635e+05,1.854e-12
3.695e+05,1.895e-12
3.755e+05,1.936e-12
3.816e+05,1.979e-12
