# Yoshida & Meier 2026 nominal CRPropa curve extracted from the vector PDF figure.
# Variant: log_normal
# Quantity: all-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Source PDF SHA256: b4bbaed45392ed7efaedf7283012a4d96a63e3fba312e12c7eab357d32b06435
Energy,FluxE2
1.866502680028e+03,6.870541022414e-14
2.143213899280e+03,9.453263614713e-14
2.460948004646e+03,1.139182329995e-13
2.825237191763e+03,1.837321261929e-13
3.244081930843e+03,2.069555251240e-13
3.724296859113e+03,2.501403414876e-13
4.276428464384e+03,3.578742415657e-13
4.909459331499e+03,3.657214211506e-13
5.637292735832e+03,4.088324042024e-13
6.471769849691e+03,5.608424794903e-13
7.431217347404e+03,6.725628995613e-13
8.532904489529e+03,6.303631503527e-13
9.796013191689e+03,7.722981538689e-13
1.124828367760e+04,8.391049106014e-13
1.291334450361e+04,1.015023763346e-12
1.482776376177e+04,9.835972180561e-13
1.702268698559e+04,9.418406607936e-13
1.954632133777e+04,1.201804937280e-12
2.243972400122e+04,1.320719859417e-12
2.576643949674e+04,1.135289526906e-12
2.958634594878e+04,1.510415964731e-12
3.396595327696e+04,1.747614621851e-12
3.900144582937e+04,2.176820041534e-12
4.477475147042e+04,2.611860712198e-12
5.141266362946e+04,4.335341415145e-12
5.902317689740e+04,4.757855909142e-12
6.777343234476e+04,6.603437753704e-12
7.780579732376e+04,8.396454040608e-12
8.934060279198e+04,1.263409116584e-11
1.025854523129e+05,1.442525061648e-11
1.177709706426e+05,1.995580140916e-11
1.352306623737e+05,2.438954061155e-11
1.552485778319e+05,3.128220719051e-11
1.782643710774e+05,3.614579214298e-11
2.046524876524e+05,5.015321696953e-11
2.349924598299e+05,6.002974770042e-11
2.698303819883e+05,7.753928444013e-11
3.097728311292e+05,9.037537633583e-11
3.556970179574e+05,1.118713136032e-10
4.083501326460e+05,1.192635034358e-10
4.688885437286e+05,1.484332464730e-10
5.382971724850e+05,1.817071854441e-10
6.181003619002e+05,1.976397775008e-10
7.095965162147e+05,2.224400666736e-10
8.147950754095e+05,2.164314451638e-10
9.355894043810e+05,2.343262130135e-10
1.074082823565e+06,2.325540415762e-10
1.233316927612e+06,2.324279823064e-10
1.415882283403e+06,2.301703732560e-10
1.625788579164e+06,2.378466745836e-10
1.866450795029e+06,2.286155167950e-10
2.143154322269e+06,2.015358477532e-10
2.460401149285e+06,2.151443153273e-10
2.825158655884e+06,2.232860149340e-10
3.243991751929e+06,2.756466091451e-10
3.724193331195e+06,2.980330692694e-10
4.276309588324e+06,3.721354518111e-10
4.909323102160e+06,4.616487906430e-10
5.637136030499e+06,5.937217479154e-10
6.471589947582e+06,7.824411592815e-10
7.431011143471e+06,1.018366046324e-09
8.531008364719e+06,1.309355091712e-09
9.795740882341e+06,1.749095845119e-09
1.124797155642e+07,2.245229140951e-09
1.291298553875e+07,2.936516114681e-09
1.482735157993e+07,3.808499387911e-09
1.702221463431e+07,4.804685660212e-09
1.954577798958e+07,6.185962086738e-09
2.243910022229e+07,7.593214288838e-09
2.576572452085e+07,9.414576822381e-09
2.957977146940e+07,1.127773253989e-08
3.396500909218e+07,1.272044863996e-08
3.900036360406e+07,1.383581395967e-08
4.477350682291e+07,1.421221803347e-08
5.141123446143e+07,1.380957969305e-08
5.902153617249e+07,1.245426235947e-08
6.777154838045e+07,1.025118443807e-08
7.780363448000e+07,7.884838696017e-09
8.933811930397e+07,5.736843073062e-09
1.025826006448e+08,3.781746531815e-09
1.177676968479e+08,2.254378849148e-09
1.352269032349e+08,1.212647048639e-09
1.552442699418e+08,4.839495210848e-10
1.782594156885e+08,1.640516640282e-10
2.046467987273e+08,6.396168023292e-11
2.349859391796e+08,1.169460263211e-11
