# Yoshida & Meier 2026 nominal CRPropa curve extracted from the vector PDF figure.
# Variant: no_evolution
# Quantity: all-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Source PDF SHA256: b4bbaed45392ed7efaedf7283012a4d96a63e3fba312e12c7eab357d32b06435
Energy,FluxE2
4.276428464384e+03,8.412975165692e-14
4.909459331499e+03,9.074059973244e-14
5.637292735832e+03,9.966504341732e-14
6.471769849691e+03,1.362409705335e-13
7.431217347404e+03,1.642686466810e-13
8.532904489529e+03,1.553875075471e-13
9.796013191689e+03,1.862398302414e-13
1.124828367760e+04,2.063392194500e-13
1.291334450361e+04,2.519781981136e-13
1.482776376177e+04,2.541738909133e-13
1.702268698559e+04,2.429878468733e-13
1.954632133777e+04,3.139478970236e-13
2.243972400122e+04,3.591378613316e-13
2.576643949674e+04,3.090495632884e-13
2.958634594878e+04,3.866241492833e-13
3.396595327696e+04,4.818383294395e-13
3.900144582937e+04,5.917731498660e-13
4.477475147042e+04,7.098473854848e-13
5.141266362946e+04,1.163333077701e-12
5.902317689740e+04,1.333674042293e-12
6.777343234476e+04,1.783515360628e-12
7.780579732376e+04,2.285690313615e-12
8.934060279198e+04,3.442995602008e-12
1.025854523129e+05,3.905618914208e-12
1.177709706426e+05,5.401543984176e-12
1.352306623737e+05,6.666399309007e-12
1.552485778319e+05,8.396454040608e-12
1.782643710774e+05,9.812998496137e-12
2.046524876524e+05,1.364905277750e-11
2.349924598299e+05,1.582681745099e-11
2.698303819883e+05,2.093682388162e-11
3.097728311292e+05,2.437631822219e-11
3.556970179574e+05,3.030545056914e-11
4.083501326460e+05,3.159760262386e-11
4.688885437286e+05,3.875424417273e-11
5.382971724850e+05,4.677752512255e-11
6.181003619002e+05,4.929045790260e-11
7.095965162147e+05,5.555079218784e-11
8.147950754095e+05,5.495159183776e-11
9.355894043810e+05,5.825005953563e-11
1.074082823565e+06,5.853502909956e-11
1.233316927612e+06,5.965657408964e-11
1.415882283403e+06,6.061854503253e-11
1.625788579164e+06,6.404844755081e-11
1.866450795029e+06,6.264020494962e-11
2.143154322269e+06,5.769991032092e-11
2.460401149285e+06,6.474683688995e-11
2.825158655884e+06,6.921255297454e-11
3.243991751929e+06,8.586091169426e-11
3.724193331195e+06,9.808675472533e-11
4.276309588324e+06,1.232075920593e-10
4.909323102160e+06,1.548040536301e-10
5.637136030499e+06,1.986066798949e-10
6.471589947582e+06,2.644460116403e-10
7.431011143471e+06,3.401013114535e-10
8.531008364719e+06,4.384694345255e-10
9.795740882341e+06,5.827177823323e-10
1.124797155642e+07,7.486150737844e-10
1.291298553875e+07,9.761915494269e-10
1.482735157993e+07,1.265723346238e-09
1.702221463431e+07,1.584721310415e-09
1.954577798958e+07,2.018297690350e-09
2.243910022229e+07,2.447399702776e-09
2.576572452085e+07,2.963711116497e-09
2.957977146940e+07,3.448717895565e-09
3.396500909218e+07,3.781746531815e-09
3.900036360406e+07,3.980585992125e-09
4.477350682291e+07,3.941922215710e-09
5.141123446143e+07,3.698596716688e-09
5.902153617249e+07,3.260495329648e-09
6.777154838045e+07,2.627575483359e-09
7.780363448000e+07,1.981965162890e-09
8.933811930397e+07,1.401562591728e-09
1.025826006448e+08,9.036005925176e-10
1.177676968479e+08,5.328451804301e-10
1.352269032349e+08,2.905333696635e-10
1.552442699418e+08,1.158218913278e-10
1.782594156885e+08,3.962549575412e-11
2.046467987273e+08,1.575830883260e-11
2.349859391796e+08,3.306677374890e-12
