# KM3NeT Collaboration 2026 diffuse blazar neutrino best-fit curve digitized from published Figure 4.
# Variant: joint KM3NeT/ARCA + IceCube best fit (eta ~= 10, alpha_p ~= 1.8).
# Quantity: single-flavor E2phi; Energy in GeV; FluxE2 in GeV cm^-2 s^-1 sr^-1.
# Published source: JCAP03(2026)033, DOI 10.1088/1475-7516/2026/03/033.
# Published PDF SHA256: 5027c37955289da51e13969aff1b6a4f9d711e42f799b6ec351b9dd79f45b55c
# Embedded Figure 4 raster SHA256: 3463bc218ab0449f7ad23e5f9b70ed4d78f881e008ce59784b129620066bba4c
# Visible plotted support only; the lower-axis clipping intersection is excluded.
# The digitized centerline is sampled every 0.05 dex in energy plus the visible high-energy endpoint.
Energy,FluxE2
1.00000000e+06,1.10317586e-11
1.12201845e+06,1.29240607e-11
1.25892541e+06,1.52870798e-11
1.41253754e+06,1.82449384e-11
1.58489319e+06,2.17751056e-11
1.77827941e+06,2.59798151e-11
1.99526231e+06,3.10302691e-11
2.23872114e+06,3.69280417e-11
2.51188643e+06,4.41591923e-11
2.81838293e+06,5.27006065e-11
3.16227766e+06,6.28160056e-11
3.54813389e+06,7.51091735e-11
3.98107171e+06,8.97746010e-11
4.46683592e+06,1.07294574e-10
5.01187234e+06,1.28036039e-10
5.62341325e+06,1.52946586e-10
6.30957344e+06,1.82175408e-10
7.07945784e+06,2.17043516e-10
7.94328235e+06,2.58939882e-10
8.91250938e+06,3.08762598e-10
1.00000000e+07,3.67074172e-10
1.12201845e+07,4.34391574e-10
1.25892541e+07,5.04393520e-10
1.41253754e+07,5.47527598e-10
1.58489319e+07,5.66208753e-10
1.77827941e+07,5.83609332e-10
1.99526231e+07,5.99462834e-10
2.23872114e+07,6.06331210e-10
2.51188643e+07,6.12535632e-10
2.81838293e+07,6.16269338e-10
3.16227766e+07,6.18756108e-10
3.54813389e+07,6.18756108e-10
3.98107171e+07,6.18756108e-10
4.46683592e+07,6.22574779e-10
5.01187234e+07,5.98368273e-10
5.62341325e+07,5.61678011e-10
6.30957344e+07,5.05791444e-10
7.07945784e+07,4.47560837e-10
7.94328235e+07,3.88656543e-10
8.91250938e+07,3.34182105e-10
1.00000000e+08,2.82718769e-10
1.12201845e+08,2.38094652e-10
1.25892541e+08,1.98952189e-10
1.41253754e+08,1.64383359e-10
1.58489319e+08,1.34429691e-10
1.77827941e+08,1.08453413e-10
1.99526231e+08,8.64669503e-11
2.23872114e+08,6.80628198e-11
2.51188643e+08,5.31041297e-11
2.81838293e+08,4.08658043e-11
3.16227766e+08,4.35515015e-11
3.54813389e+08,3.06731112e-11
3.98107171e+08,2.17277331e-11
4.46683592e+08,1.51283460e-11
4.90049177e+08,1.29630328e-11
